File,Mw,Lon,Lat,Depth
tamtam_nuevo.000369.log,7.6299,170.066083,-21.866801,19.35
tamtam_nuevo.000370.log,7.6194,167.074826,-16.597037,10.76
tamtam_nuevo.000371.log,7.4612,167.296668,-17.15974,8.53
tamtam_nuevo.000372.log,7.8912,166.961803,-14.236401,42.66
tamtam_nuevo.000373.log,7.4473,167.830257,-18.839496,9.25
tamtam_nuevo.000374.log,7.4579,167.230727,-17.420095,4.93
tamtam_nuevo.000375.log,7.5681,166.670973,-15.017797,13.96
tamtam_nuevo.000376.log,7.5316,166.869786,-14.791442,22.54
tamtam_nuevo.000377.log,7.8508,167.0896,-15.318972,33.46
tamtam_nuevo.000378.log,7.5794,167.292785,-16.178828,23.97
tamtam_nuevo.000379.log,7.2914,170.164757,-21.97274,18.79
tamtam_nuevo.000380.log,7.5177,167.242055,-15.808418,31.01
tamtam_nuevo.000381.log,7.6288,169.250698,-20.701125,23.25
tamtam_nuevo.000382.log,7.4358,166.918978,-14.083816,42.95
tamtam_nuevo.000383.log,8.0354,166.460156,-14.762693,8.09
tamtam_nuevo.000384.log,7.4195,167.292785,-16.178828,23.97
tamtam_nuevo.000385.log,7.6253,168.949112,-20.940846,9.58
tamtam_nuevo.000386.log,7.427,169.475264,-20.823368,33.02
tamtam_nuevo.000387.log,7.5418,167.567707,-17.736782,10.46
tamtam_nuevo.000388.log,7.4628,166.399198,-14.048685,11.42
tamtam_nuevo.000389.log,7.716,166.765593,-14.198426,27.07
tamtam_nuevo.000390.log,7.3378,169.154274,-21.232188,9.44
tamtam_nuevo.000391.log,7.3565,169.015064,-21.315883,6.87
tamtam_nuevo.000392.log,7.322,169.475264,-20.823368,33.02
tamtam_nuevo.000393.log,7.3262,170.110651,-21.479687,46.13
tamtam_nuevo.000394.log,7.7212,166.459221,-14.987976,8.35
tamtam_nuevo.000395.log,7.6138,169.941835,-21.790489,18.18
tamtam_nuevo.000396.log,7.5629,169.381662,-21.761361,7.16
tamtam_nuevo.000397.log,7.5858,166.871599,-14.095169,37.89
